placa,marcaModelo,corMilhar,ano,art,dataInfracao
5045-MWR,FIAT/STRADA ADVENT FLEX,PRATA,09,157,01/11
5048-KDP,JINCHENG/ JC 125,VERM/0029,97/97,155,02/05
5052-JYV,HONDA/CG 125 TITAN (L.BULHOES),AZUL/4086,98/99,157,19/06
5066-NVT,HONDA /CG 125 FAN KS,VERM,10/10,157,18/06
5073-NFD,HONDA/CG125,AZUL/0385,04/04,155,14/02
5078-KES,GM/CORSA SEDAN,PRETA/0975,02/03,155,25/05
5172-NWL,HONDA/CG 125FAN ES,VERM/2368,11/11,155,05/06
5205-JLC,HONDA/CG 150 TITAN MIX,VERME/3656,10/10,157,18/06
5231-JJV,HONDA/CG150 TITAN MIX ES,VERMELHA/8043,09/10,155,18/04
5262-PRJ,REBOQUE SIDOC 501,CINZA/2492,17/17,155,03/05
5263-NGG,HONDA/ CG 150 TITAN KS,VERM/6938,06/06,155,14/08
5266-NKH,HONDA/CBX 250 TWISTER,VERM/1562,08/08,155,30/05
5290-NGI,VW/PARATI 1.8,BRANCA,05,155,08/10
5296-KQM,FORD / FIESTA,VERM,96/96,155,29/01
5314-ONW,HONDA/BIZ 125 EX,BRANCA/0875,14/14,155,04/07
5331-NLJ,GM/CELTA 4P LIFE,PRETA/7357,09/09,155,24/03
5344-ONF,HONDA /CG 150 TITAN ESD,AMRL/1391,12/13,155,14/11
5349-PRX,HONDA/CG 160 FAN,VERME/9794,96/96,155,04/02
5362-KCB,VW/PARATI PLUS,PRETA/5775,89/89,155,31/10
5362-KDP,HONDA/CG 125 TITAN,VERM/5271,10/10,155,08/06
5365-GCD,FIAT /STRADA,VERM/1881,19/19,155,15/06
5419-JJO,HONDA/ CG 125 TITAN KS,VERM/4607,02/02,155,16/04
5454-KDP,HONDA/C100 BIZ,VERM/6580,98/99,155,27/05
5454-NKR,R/ RONDON NT 500,PRATA/8714,09/09,155,20/03
5462-LNL,HONDA/CG 125 TITAN KS,PRATA/2185,09/09,155,20/03
5501-JHU,NISSAN/FRONTIER,PRETA,11,157,23/09
5509-PRL,HONDA/ CG 160 FAN,CINZA,19/19,155,29/10
5545-OTH,HONDA/POP100,VERM/0252,12/12,155,17/09
5549-NKC,HONDA /CG 125 FAN,PRETA/9745,07/08,155,27/10
5573-KCZ,CARRETINHA R/RONDON,,96/96,155,15/01
5679-PRB,R/JUNIOR CIA 501 (REBOQUE),PRATA/2381,17/17,155,12/11
5680-JVW,GM/BLAZER,AZUL/8572,00/00,155,16/03
5711-KEA,R/ FORTE F2 (REBOQUE),PRATA/8275,00/00,155,21/11
5713-KDA,HONDA/CG 125 TITAN,VERM/3238,05/06,155,08/06
5716-KEX,HONDA/CG 125 TITAN KS,VERM/3933,03/03,155,15/09
5737-KES,HONDA/CG 125 TITAN KS,VERM/7006,02/02,155,15/10
5771-KEX,HONDA/ C100 BIZ,AZUL,03/03,155,15/07
5815-KEY,HONDA/CB 250 TWISTER,VERM,03/03,155,27/05
5823-NEZ,FORD/FIESTA,VERM/0523,03/03,155,27/05
5911-KCU,HONDA/CG 125 TITAN,PRETA/2588,16/17,157,28/03
5936-KBE,HONDA/CG 125 TODAY,BRANCA/5400,88/88,155,11/05
5961-NFM,HONDA/C100 BIZ MAIS,PRATA/3729,05/05,155,02/01
5968-GXH,M.BENZ/L1620,AZUL/0134,02/02,155,13/02
5974-KEE,YAMAHA/ CRYPTON,PRATA,01,155,08/11
5A43-REN,RENAULT/KWID ZEN,BRANCA/6969,21/22,157,09/02
5D96-ONN,HONDA/CG150 FAN ESDI,AZUL/1210,08/08,155,28/05
5F04-JUN,GM/CORSA SEDAN,PRETA/2747,06/06,155,02/06
5F13-SCD,CARRETINHA PREMIUN CA 750,PRETA/0015,22/22,157,20/11
5G67-KEK,GM/VECTRA CHALLENGE,CINZA/8802,01/01,155,11/03
5G76-PQD,HONDA / CG 150 TITAN,VERM/8876,15/15,155,20/06
5H05-PDH,VW / 13.190,BRANC/6663,16/16,155,22/02
5I03-RBZ,R/REBOQUES MA,PRETA/0463,21/21,155,04/03
5I32-SCO,HONDA / BIZ 125,MARROM/0991,22/22,155,11/04
5I48-PQT,HONDA/BIZ 110,VERM/1316,16/16,155,06/07
5J32-RCN,HONDA/CG 160 TITAN,VERM/4234,21/21,155,20/03
5J70-RBM,NISSAN FRONTIER S MTX4,BRANC/1944,19/20,157,07/07
6015-NWN,HONDA CG 125 FAN ES,VERM,11/11,155,18/03
6060-OGN,HYUNDAI/SONATA GLS,VERME/4080,11/11,155,18/03
6083-ONO,YAMAHA/YS150 FAZER ED,PRETA/0627,14/14,155,27/06
6094-KDS,HONDA/ XLR 125,VERM/7494,98/98,155,30/05
6094-OMP,VW / NOVO GOL 1.0,BRANCA/6753,13/14,157,29/12
6158-JEA,VW/GOL 1000,BRANCA/0334,94/94,155,17/09
6175-CQS,HONDA/CG125 TITAN,VERM/0578,98/98,155,15/10
6175-MEQ,SUNDOWN /HUNTER 100,VERM/9282,08/08,155,15/03
6177-NLE,HONDA/CG150 TITAN MIX EX,PRETA/4712,09/10,155,08/03
6198-PRH,HONDA/CG 160 TITAN,VERDE/7226,17/18,157,23/10
6205-OGX,HONDA / BIZ 125 ES,VERM/1503,99/99,155,05/12
6224-NLL,HONDA/CG 125 FAN KS,VERM/0221,09/09,157,08/03
6246-OGH,FORD/ F350 G,PRATA/3971,44511,155,25/07
6248-NLE,HONDA/CG 125 FAN ES,PRATA/2357,12/12,155,15/02
6258-OGZ,YAMAHA/FACTOR YBR125 K,PRETA/9460,12/12,155,02/02
6262-KER,HONDA/BIZ C100,VERM,03/03,155,26/05
6268-OGT,HONDA/ CG 150 FAN ESDI,VERM/3979,03/03,155,26/05
6275-QER (PA),HONDA/CG 160 FAN,PRETA/0294,19/19,155,21/02
6338-KEW,HONDA/ CG 125 TITAN ES,VERM/4599,43892,155,14/09
6347-MXB,HONDA/POP100,ROXA/4052,11/12,155,25/11
6369-KES,HONDA/CG 125 TITAN,VERM/0436,01/01,155,16/07
6371-JJR,HONDA CG 125 TITAN ES,VERDE/6701,3/3,155,08/08
6391-OGZ (CORUMBA),HONDA/NXR 150 BROS,PRETA/0547,12/12,157,01/02
6420-NFK,HONDA CG 150 TITAN ESD,VERM/0128,04/05,155,23/07
6458-KCG,HONDA /CG125 TITAN,VERM/0130,95/95,155,06/01
6464-PQG,YAMAHA/YS150 FAZER,PRET/9244,19/19,155,17/12
6504-CFJ,HONDA/CG 125 TITAN,VERME/3243,96/96,155,27/02
6512-NGT,VW/GOL 1.0,BRANCA/7643,07/07,155,19/07
6537-CTW,HONDA / TITAN 125,VERM/1972,00/00,155,12/10
6640-OMP,VW/ FOX 1.6 GII,PRATA/7417,12/13,155,09/06
6640-ONS,CHEVROLET/ONIX 1.0 LT,BRANC/5090,13/14,155,4/2
6675-MVP (TO),HONDA/CG 125 TITAN,VERM/1877,09/09,157,16/05
6676-KAC,GM S10 EXE 2.8 4X4,AZUL/2862,99/99,155,13/04
6683-PQW,R/FEDERAL CA,CINZA/6712,15/15,155,18/08
6739-KET,HONDA/CG 125 TITAN KS,VERM/1600,02/03,155,03/07
6755-NFN,HONDA CG 150 TITAN ES,PRATA/0828,05/06,155,20/07
6769-ONX,TOYOTA/HILUX,PRATA/0365,03/04,155,29/04
6775-NFX,HONDA/BIZ 125ES,VERME/3475,43987,171,26/09
6795-NWR,MMC/L200 OUTDOOR,PRETA/6643,11/11,155,10/01
6797-KBH,VW/PARATI GL,AZUL/1581,97/98,155,22/01
6803-BVI,HONDA/CG 125 TITAN,AZUL/6423,97/97,155,7/2
6812-CTE,HONDA/BIZ C100,AZUL/4101,98/99,155,06/11
6828-ONW,FIAT/ SIENA ATTRACTIV 1.4,BRANC/6885,15/15,157,27/05
6867-KET,YAMAHA/YBR 125,VERM/4203,02/02,155,09/02
6870-OOC,VW/SAVEIRO 1.6 CE,VERM,12/13,157,02/03
6894-BYO,GM/VECTRA GL,VERDE/9044,96/97,155,04/06
6900-JEC,CHEVROLET ONIX 1.0,BRANCA/8545,12/13,155,08/07
6903-KDZ,HONDA/CG 125 TITAN,VERM/4710,99/99,155,14/07
6904-JIT (DF),HONDA CB 300 R,AMARELA,10/10,155,20/05
6967-NKG,YAMAHA/FACTOR YBR 125 K,AMARE/7999,10/10,155,21/05
6985-NFU,HONDA C100 BIZ,VERM/3579,43956,155,08/12
6989-KCN,VW/ VOYAGE CL,BEGE/3105,91/91,155,03/05
6991-JFU,I/PEUGEOT 307 20 FELINE,PRETA/9874,05/06,155,08/01
6999-KFA,HONDA C/100 BIZ+,PRATA,02/03,155,18/09
6B62-JIY,HONDA /BIZ 125 KS,PRETA/6309,12/12,155,01/07
6D39-REJ,CHEV/ S10 LTZ FD4A,CINZA/8402,07/08,155,22/06
6E78-RSB,TOYOTA /HILUX,BRANC/0071,21/21,155,28/03
6G07-OGL,HONDA/ BIZ 125 ES,PRATA/0827,11/12,155,11/04
6G82-NKE,HONDA/CG 150TITAN KS,VERM/0223,08/08,155,14/07
6G92-KDI,HONDA/ CG 125 TITAN,VERM/6256,97/97,155,26/10
6H26-MHC,HONDA /CG 150 FAN,PRETA/4179,10/10,157,27/04
6H55-NFU,HONDA/ BIZ 125 KS,PRATA/1820,06/06,155,13/05
6I91-LZU,HONDA/CG 150 TITAN KS,PRETA/4708,04/05,155,21/04
6J40-JKA,HONDA/CB 300R,VERM/1817,12/12,155,26/11
6J82-SGP,TOYOTA/HILUX,BRAN/4538,22/22,155,27/01
6J89-RUL,MMC/L200 TRITON,PRATA/6933,22/23,155,27/04
7000-NWL,GM/ VECTRA SD EXPRESSION,VERM/8005,10/10,155,17/05
7011-NKK,HONDA/ CG 150 SPORT,VERM/1900,08/08,155,23/10
7060-JJM,HONDA/CG 125 TITAN,AZUL/2512,97/97,155,25/6
7060-MRX,VW/GOLF,VERM/4639,00/00,155,25/05
7077-LBH,VW/GOL ATLANTA,VERM/6341,96/96,155,25/11
7083-OMK,FIAT/PALIO FIRE ECONOMY,BRANCA,13/14,157,09/04
7101-NWG (PIRENOPOLIS),HONDA/CG 125 FAN ES,VERM/2443,11/11,157,17/08
7122-JIN,I/KIA CERATO EX3 1.6 ATNB,BRANCA/0431,11/11,155,05/09
7131-KDP,HONDA/CG 125 TITAN,VERM/8492,98/99,155,22/06
7145-KDG,HONDA/CG 125 TITAN,VERM/9941,98/99,155,11/06
7157-KBM,GM/ D20 CUSTOM,AZUL/2204,89/89,155,28/10
7175-NGL,YAMAHA/FAZER YS 250,PRETA/6501,06/07,155,09/12
7184-DBK,VW/ SANTANA,CINZA/4802,00/00,155,22/03
7185-KEK,HONDA C100 BIZ,VERD/7242,01/01,155,09/05
7218-NDX,VW / GOL 1.0,BRANCA/6128,09/10,155,30/05
7219-NLP,HONDA/CG 125 FAN KS,VERM/0352,11/11,155,04/02
7220-ONY,VW/AMAROK CD 4X4 HIGH,BRANCA/6731,13/14,157,17/06
7238-GXB,HONDA /CG 125 TITAN,ROXA/0976,97/98,155,22/11
7270-PAR,HARLEY/DAVIDSON/FB,CINZA/9476,16/16,155,04/03
7273-NGE,YAMAHA/YBR 125 E,VERME/5314,99/99,155,13/06
7282-JVB,FORD/FIESTA,PRETA/1558,05/06,155,20/05
7285-NFD,GM/ CELTA 5P,PRATA/5267,04/04,157,26/06
7296-JJO,HONDA / C100 BIZ,VERDE/9556,01/01,155,04/01
7351-NKB,HONDA/BIZ 125 KS,AMARELA/4191,7/8,155,08/10
7379-NWB,TRAXX/ JL50 Q2,VERM/1846,11/11,155,11/10
7406-NLK,YAMAHA/FACTOR YBR 125,PRATA,05/05,155,28/12
7407-NFR,SUNDOWN/WEB 100,PRETA/4391,09/10,155,12/06
7466-NFV,HONDA/CG 150TITAN ESD,VERM/5336,44018,155,14/09
7517-OOE,YAMAHA/ YBR FACTOR,PRATA/5409,43621,155,25/08
7522-NWE,R/PRESIDENTE CARGA,PRETA/3189,10/10,155,09/04
7542-NGN,HONDA/CG 125 FAN,VERM/6235,06/06,155,05/05
7573-KEV,HONDA BIZ C100 ES,VERM/8163,02/02,155,31/07
7580-KCC,FIAT/UNO ELETRONIC,VERM/2650,94/94,155,30/07
7588-ONC,FIAT/ SIENA ESSENCE .16,BRANCA,14/15,157,14/11
7595-OMQ,HONDA/CG 150 TITAN EX,AMAR/3412,12/13,155,29/03
7648-JTR (SP),VW/ GOL CLI,BRANCA/5822,14/15,157,14/11
7680-JFR,HONDA/C100 BIZ ES,VERDE/8344,00/00,155,08/06
7701-DHM,HONDA/C100 BIZ,VERME/2776,13/13,155,18/04
7720-NGW (PIRENOPOLIS),TOYOTA HILUX CD 4X4 SRV,PRETA/4146,05/06,157,14/12
7737-QTR,HONDA/ NXR160 BROS,LARAN/6637,19/19,155,21/07
7752-NKI,R/BANDEIRANTES JF1 500,PRETA/0762,08/08,155,09/05
7754-KCQ,VW/GOL GL,CINZA,91/91,155,19/10
7759-NGC,HONDA/CG 125 FAN,CINZA/1246,07/08,155,30/06
7847-OGV,HONDA/CG 150 FAN ESI,PRETA,11/12,157,29/05
7857-NVO,HONDA/CG 125 FAN KS,AZUL/1123,96/97,155,08/06
7864-KEH,HONDA/C 100 BIZ,AZUL/1048,01/01,155,30/01
7893-ONB,YAMAHA/T115 CRYPTON,ROSA,13/14,155,20/06
7935-NFW,CARRETINHA/ RHMA KARAJA,ROSA/9027,13/14,155,20/06
7940-PRR,TOYOTA HILUX CDSRVA4FD,BRANCA/6430,18/19,155,10/07
7971-NLD,YAMAHA/FACTOR YBR125K,PRETA/3481,08/09,155,07/02
7974-PRP,FORD/ KA SEDAN,PRATA/1803,2005,155,05/06
7978-KDI,HONDA/ C100 BIZ,VERM,98/98,155,25/10
7978-KEQ,HONDA/C100 BIZ,AZUL/8037,02/02,155,25/05
7983-HZB,VW / SANTANA QUANTUM CL,VERDE/9294,93/93,155,02/05
7996-PAJ,FIAT PALIO ATTRACT 1.4,VERM/9126,15/16,157,10/12
7B64-RCM,HONDA/CG 160 TITAN,AZUL/7172,21/21,155,22/05
7C15-NKX,HONDA/CG 150 TITAN ES,PRETA/2576,08/08,155,03/07
7D94-RCD,HONDA/CG TITAN 160,VERM/2872,20/20,155,16/01
7G14-RCJ,HONDA/CG 160 TITAN,AZUL/7218,21/21,155,26/06
7H52-SCF,HONDA/ BIZ 125,BRANCA/7185,22/22,155,27/06
7I00-SBY,TOYOTA HILUX,BRANCA/3730,22/22,155,28/06
7I27-SDC,HONDA/ NXR BROS 160,PRETA/4302,23/24,155,24/08
7J28-NLI,HONDA/CG TITAN 150,VERM/3994,10/10,155,23/12
7J51-JZK,HONDA/CG125 TITAN ES,VERM/4733,02/03,155,13/12
7J62-NLG,HONDA/ CG 125 FAN,PRETA/4334,09/09,155,13/11
7J75-NFP,HONDA/ CG 150 TITAN,PRATA/1289,05/06,155,16/09
8026-KCF,HONDA/ML 125,VERM/9312,98/98,155,22/12
8037-BSK,YAMAHA CY 50 JOG,PRETA,05/05,155,27/05
8051-KFA,HONDA/ BIZ C.100,VERM/9790,03/03,155,24/08
8133-JUL,GM/S10 EXECUTIVE 2.8,PRETA/7492,04/05,155,06/05
8138-NKY,R/NELTON REBOQUE,VERDE,10/11,155,08/04
8141-NLE,DAFRA/SPEED150,PRATA/3185,09/10,157,24/04
8143-CGN,HONDA/CG TITAN 125,PRETA/9080,95/95,155,27/05
8147-NWG,HONDA/CG150 TITAN MIX EX,VERM,10,155,05/06
8211-DZB (SP),GM/MERIVA PREMIUM,PRATA,07/08,155,19/10
8323-QOX,GM/COBALT 18A LTZ,PRATA/4384,18/19,155,19/10
8324-NKY,MOTONETA SHINERAY XY 50,PRATA/7895,08/08,155,12/08
8325-OTM,HONDA/POP 100,VERM/9009,13/13,155,06/11
8374-QTS,DAFRA/ZIG 50,VERM,13,155,15/01
8392-JNJ,FIAT/PALIO EDX,AZUL/9737,96/96,155,19/05
8399-OGZ,HONDA/CG 125 FAN KS,VERM/4992,13/13,155,15/01
8411-NKI,HONDA/CG 125 FAN,PRETA/6588,08/08,155,29/02
8414-NGN,HONDA CG 150 TITAN KS,PRATA/7549,06/06,155,22/07
8426-KDV,HONDA/CG 125 TITAN,VERDE/4451,99/99,155,28/06
8441-KCE,HONDA CG 125 TITAN,VERM/3697,95/95,155,17/12
8483-KCU,FIAT UNO MILLE,BRANCA/6814,96/96,155,26/01
8516-NKT,HONDA/CG 125 FAN ES,VERM,09/10,157,25/09
8518-KDW,HONDA/C100 BIZ,AZUL/1685,99/00,155,09/01
8525-KAY,VW/GOL,BRANCA,92/92,155,05/04
8552-QJC,SR/TWRUSINAS PRANCHA 02E,BRANCA/4600,92/92,155,05/04
8555-PQP,RENAUT OROCH,BRANCA/0994,19/20,157,01/03
8570-OGY,FORD/FIESTA FLEX,PRETA,12/12,157,03/02
8572-PRI,R/PRESIDENTE TRA CARGA1,PRETA/9049,16/16,155,04/03
8576-KDF,HONDA/CG 125,PRETA/4640,16/16,155,04/03
8582-KCY,HONDA/C100 DREAM,AZUL/1004,97/98,155,12/10
8590-OMZ,TOYOTA/HILUX SRV,PRATA,13/13,157,29/11
8609-NLQ,HONDA/CG 125 FAN ES,PRETA/0228,11/11,155,22/09
8633-PRZ,HONDA/ NXR 160 BROS,VERM,18/18,157,23/06
8665-NGU,GM/CELTA LIFE,VERME/3102,17/08,155,23/10
8676-KER,HONDA/C100 BIZ ES,AZUL/4974,02/02,155,07/01
8711-NVW,HONDA/CG 150 FAN ESI,VERMELHO/3402,10/10,157,13/12
8715-OGS,HONDA/CG 150 FAN ESDI,PRETA/1767,12/12,155,23/12
8725-NKW,YAMAHA XTZ 125,VERM/0560,08/09,155,15/01
8744-NGF,HONDA/CG 150 TITAN ESD,PRATA/2826,07/07,155,02/04
8753-HPN,HONDA/C100 BIZ MAIS,PRATA/2783,02/03,155,16/03
8799-KBZ,M. BENZ/L 1214,VERM/5112,10/10,157,13/12
8849-KEP,HONDA/C100 BIZ,CINZA/6346,02/03,155,06/04
8853-PRW,HONDA /BIZ C110,BRANCA/4591,18/18,157,28/08
8866-OHA,VW/FOX 1.0 GII,BRANC/7063,12/13,157,11/02
8869-NJY,HONDA CG 150 KS,VERM/1073,07/08,155,15/04
8934-KDC,HONDA/CG 125 TITAN,VERDE/3585,96/97,155,04/07
8940-OGQ,VW/AMAROK CD 4X4 HIGH,BRANCA,12,157,22/09
8953-OGM,HONDA CG 125 FAN KS,VERME/6285,11/11,155,26/07
8963-KBV,FIAT/UNO ELETRONIC,VERDE,95/95,155,18/11
8A17-NVW,HONDA/CG 125 FAN KS,VERM/7760,10/10,155,12/10
8A40-RBU,TOYOTA/HILUX SW4,PRETA/1199,21/21,155,11/02
8D67-NKK,HONDA/CG 150 TITAN,VERM/4248,08/08,155,29/12
8E43-OGU,HONDA/CG150 FAN,VERM/5262,12/12,157,03/12
8E71-KDB,HONDA/CG 125 TITAN,VERDE/7649,97/97,155,21/06
8G28-KET,HONDA/ BIZ C100 ES,VERM/5056,02/02,155,04/12
8H76-NWI,HONDA/CG 125 FAN,ROXA/8434,11/11,155,08/03
8H89-NFN,HONDA/TITAN 125,VERM/0672,03/04,157,22/10
8J21-NXH,HONDA/NXR150 BROS ES,VERM/5415,11/12,155,21/04
9002-PQP,HONDA/BIZ 125,PRATA/0474,19/19,157,23/08
9005-NLQ,HONDA CG 125 FAN KS,VERM,09/10,155,24/03
9037-NLL,HONDA/CG 125 FAN KS,VERM/3260,10/10,155,14/01
9054-PRN,HONDA/ CG 160 TITAN,PRETA/0665,13/14,155,27/05
9061-KCR,GOL 1.6 MI,VERM/6792,97/97,155,30/08
9073-KED,HONDA/ C100 BIZ,VERME/0098,00/00,155,02/07
9101-NWM,HONDA/CG 125 FAN ES,VERM/6707,11/11,155,04/06
9101-ONU,HONDA/CG 150 FAN,VERM/1376,14/14,155,16/04
9123-JHE,HONDA/CBX 250 TWISTER,VERM/0345,08/08,157,26/03
9131-PQX,HONDA/ CG 125 FAN,PRETA/3174,16/16,155,28/12
9134-KAV,VW PARATI CL,BRANC/2341,85/85,155,26/12
9147-JDR,FORD/SR DESERTER,VERDE/7617,93/94,155,22/01
9164-NFO,HONDA/C100 BIZ ES,VERDE/6227,43956,155,13/11
9169-JJC,HONDA BIZ 125,PRATA/5284,05/05,155,11/03
9185-KDA,VOLVO/NL12 360,VERM/7476,96/97,155,30/06
9222-JHB,VW- GOL 1.0,PRETA/3066,44083,155,31/10
9282-NLB,JTA/SUZUKI EN 125 YES,VERM/2698,04/04,155,06/04
9291-KEA,HONDA/C100 BIZ ES,VERM/8510,00/01,155,12/03
9308-PRX,HONDA/ CG 160 TITAN,VERM,19/19,157,15/11
9327-KDZ,HONDA/ CG 125 TITAN,PRETA/0595,17/18,155,27/05
9384-KEO,HONDA/C100 BIZ ES,VERM,01/02,155,29/08
9401-OBY,YAMAHA/FACTOR YBR125,PRETA/7361,11/12,157,03/12
9406-OBK,CHEVROLET/S10 LS DS4,BRANCA/8224,12/13,155,01/07
9423-NKA,HONDA/ BIZ 125 ES,AMARE/7459,08/08,155,02/03
9451-KEZ,HONDA/C100 BIZ ES,VERME/7569,2019,157,15/11
9465-NVS,HONDA/CG 125 FAN ES,VERM/1400,10/10,155,19/06
9491-EVU,R/FACCHINI RE DL,AZUL/8903,03/03,155,01/03
9495-KEZ,HONDA/CG 125 TITAN ES,VERM/7948,03/03,157,04/09
9509-ONW,VW/GOLF/COMFORTLINE AA,AMARELO,12/13,157,26/11
9512-JUZ (PIRENOPOLIS),YAMAHA/YBR 125 ED,PRETA/3569,04/05,155,25/1
9531-NCR,BMW/320I ACTIVE,BRANCA/2481,16/16,155,24/03
9589-GPD,FORD/F1000,CINZA/5859,84/84,155,23/11
9603-NLI,HONDA/CG 125 FAN ES,VERM,14/14,157,11/03
9619-KEE,HONDA/C100 BIZ ES,VERM/3933,01/01,155,15/06
9634-KEW,HONDA/CG 125 TITAN ES,VERME/7426,03/03,155,01/07
9662-KBA,FIAT/UNO ELETRONIC,VERM/5033,14/14,157,11/03
9671-JFR,HONDA/CG 125 TITAN KS,PRATA/4204,00/01,155,02/10
9688-JDZ,VW/VOYAGE GLS,PRETA/7652,09/09,155,14/03
9707-KFA,HONDA/CG 125 TITAN KS,VERM/4860,97/97,155,17/06
9717-MXZ,GM/CORSA SUPER,BRANCA/0665,97/97,155,24/05
9731-BLZ,GM/CORSA SUPER,PRATA/4310,97/97,155,20/03
9788-NWO,HONDA/CG 125 FAN KS,PRETA/3834,11/11,155,31/05
9789-PRA,FORD/F350 P,PRATA/6446,89/89,155,27/05
9851-NFK,VW / 7.110 (CAMINHAO),BRANCA,18/19,155,27/03
9854-OMV,HONDA/ BIZ 125 ES,BRANCA/6653,18/19,155,27/03
9855-OGS,VW/ VOYAGE,PRATA/6009,12/13,155,15/09
9916-CSN,GM / S10 DE LUXE 2.5 4X4,VERM,13/13,155,18/11
9963-NFN,HONDA/CBX 250 TWISTER,PRATA,2005,157,12/12
9983-PRE,FORD/ F350 P,AZUL/8543,99/00,157,13/12
9988-KCB,FIAT/PREMIO S,PRATA/8364,05/05,155,23/03
9B56-PAP,HONDA/ CG 160 FAN,PRATA/1639,16/16,155,28/11
9C52-RAV,HONDA BIZ 110 (GYN),VERM/5364,22/22,157,01/04
9C82-QTQ,HONDA/ CB 250F TWISTER,VERM/4188,03/03,155,15/06
9C90-SDO,TOYOTA / HILUX,BRANCA/9191,22/23,155,01/06
9C97-GZM,GM/S10 DLX 2.8,AZUL/4293,04/04,155,09/02
9D31-KEV,HONDA/C 100 BIZ +,VERM,87/87,155,19/03
9D48-OJO,HONDA/NXR 150 BROS ES,PRETA/8917,09/09,155,13/04
9E26-RBP,HONDA/ NXR BROS160,VERM/4395,20/20,155,22/08
9F02-RBT,HONDA/CG 160 TITAN,AZUL/7760,20/20,157,03/12
9F92-NWH,HONDA/ CG 125 FAN KS,PRETA/1597,11/11,155,19/04
9G68-NJX (CORUMBA),HONDA/CG 150 TITAN MIX,PRETA/3731,09/10,157,01/02
9H09-NGC,HONDA/CG 125 FAN KS,ROXA/1377,11/11,155,18/06
9H52-OMX,HONDA/BIZ 125 ES,VERM/8394,13/13,155,26/07
9220-JJO,HONDA/CG 125 TITAN,PRATA/7871,00/01,155,12/04
6914-KEB,HONDA/C100 BIZ,VERM/5232,00/00,155,03/04
2141-NFL,FIAT/ UNO MILLE FIRE,BRANCA/2733,04/05,155,11/05
8706-OCE (DF),HONDA/ CG 125 FAN KS,VERM/8937,11/11,155,24/04
