placa,marcaModelo,corMilhar,ano,art,dataInfracao
1329-KDB,VW/ VOYAGE CL,CINZA/7813,89/89,155,25/07
1375-KEW,HONDA/CG 125 TITAN KS,PRATA/1196,02/02,155,03/07
1395-JLV,FORD PAMPA (NEROPOLIS),PRATA/0471,94/94,155,21/12
1402-EVV,I/GM CAPTIVA SPORT FWD,PRETA/5618,09/10,157,08/03
1426-PRY,FIAT/ STRADA FREEDOM,PRATA/2000,18/19,157,29/11
1430-HPX,HONDA /C100 BIZ ES,VERM/0533,05/05,155,19/10
1452-ONF,HONDA/BIZ 125 EX,BRANCA/7959,13/13,155,01/02
1455-NWD,HONDA/CG 150 FAN ESI,PRETA/3398,10/10,155,28/05
1468-KEK,HONDA/C100 BIZ,VERME/2551,01/01,155,10/09
1472-PQS,TOYOTA / HILUX CDSR,BRANCA/1042,16/16,157,21/12
1473-NFD,HONDA/C100 BIZ ES,VERM/7195,04/04,155,11/05
1488-KEK,HONDA/ C100 BIZ ES,VERM,01/01,155,17/03
1502-NKE,FORD/RANGER XLT 13P,PRATA/2584,07/08,155,14/10
1524-NGS,SUNDOWN/ WEB 100,VERM/1096,07/07,155,18/11
1538-KES,RENAULT/CLIO RL,PRATA/4112,02/03,155,25/02
1545-PQI,HONDA/CG150 TITAN EX,BRANCA/2092,14/15,155,09/07
1574-NLT,HONDA/CG 125 FAN,PRETA/1742,09/09,157,02/12
1584-NWL,HONDA/CG 125 FAN KS,PRETA/3944,44146,155,24/11
1585-JFO,VW/GOL CLI,BRANCA/4619,94/95,155,17/03
1678-KEY,HONDA/C100 BIZ ES,VERM/3977,02/03,155,01/12
1706-NFD,HONDA/CG 125 TITAN KS,VERM/8813,03/04,155,03/07
1784-GVY,HONDA CG 125 TITAN,CINZA/0388,96/97,155,27/05
1795-JJP,HONDA /XLR 125,AZUL/1350,01/02,155,02/02
1802-PUC,CHEVROLET/CELTA 1.0L LT,PRATA/0237,14/15,157,13/09
1813-NWG (CORUMBA),REBOQUE / MILTON DF,BRANCA/8108,11/12,155,19/04
1814-JTK,FORD/BELINA,DOURA/2709,86/86,155,24/06
1816-KEB,FORD/NOGUEIRA SUPER CLASS,CINZA/4879,00/00,157,15/03
1821-JIJ,FIAT/ UNO WAY,CINZA-8837,11/12,155,11/12
1831-KBC,HONDA/CG 125 TODAY,VERM/8908,90/90,155,05/05
1831-NVS,HONDA/CG 125 FAN ES,VERME/5316,10/10,155,21/11
1890-KDO,VW/PASSAT GHLS,VERDE/0354,79/80,155,18/05
1908-NFU,YAMAHA/YBR 125K,PRETA/9349,06/06,155,23/06
1909-NSW,I/M.BENZ C 180 CGI,PRETA/6370,10/11,155,19/07
1913-KBA,GM/KADETT LITE,VERM/4925,94/94,155,16/03
1919-JXD,HONDA / C100 BIZ,AZUL/7392,98/98,155,21/02
1942-NFU,HONDA/C100 BIZ ES,VERM/2936,05/05,155,30/04
1970-OGY,VW/ FOX 1.6,PRATA/7394,12/12,157,21/06
1994-NFL,HONDA / CG 125 FAN,VERME/1100,05/05,155,29/07
1B73-SCQ,HONDA/BIZ 125,BRANCA/6398,22/22,155,29/05
1B83-OGM,HONDA/CG 150 FAN ESDI,PRETA/4397,12/12,155,05/05
1C05-RCB,YAMAHA/ FAZER 150 YS,VERM/5126,21/22,155,11/01
1C15-SCI,HONDA/ CG 160 FAN,VERM/1408,22/23,155,29/09
1D13-NJR,HONDA/ CB600F HORNET,AMAR/0288,09/09,157,13/07
1D35-OGO,HONDA POP 100,VERM/8288,12/12,155,30/09
1D58-QUZ,VW/GOL 1.0 MC4,PRATA/7786,19/20,155,04/11
1D88-RCC,HONDA/ CG 160 TITAN,VERM/3635,20/21,155,20/08
1E10-MXA,GMC/3500HD,PRETA/4638,00/01,155,20/10
1E35-NGH,HONDA/ BIZ 125 ES,PRATA/0104,6/6,157,22/02
1E67-RCG,FIAT/ARGO,BRANCA/3038,21/22,155,18/12
1F45-NVR,R/ MILTON BRASILIA (REBOQUE),PRATA/8560,08/08,155,01/07
1G00-QUB,HONDA/CG160 FAN,VERM/8389,19/19,155,19/05
1J64-PRI,HONDA/ CG 160 START,PRETA/1859,19/19,155,04/10
2002-NGM,FORD/ F350 G,PRATA/2784,43653,155,19/11
2031-PAT,FIAT/ MOBI,PRETA/7019,16/17,157,19/12
2049-PQI,R/JUNIOR CIA 501 (REBOQUE),CINZA/6482,16/16,155,09/06
2051-DVV,YAMAHA/YBR 125K,PRETA/7510,07/07,155,25/07
2057-NLT,JTA/SUZUKI EN 125 YES,PRATA/0509,09/09,155,18/06
2068-NFS,HONDA/BIZ C100,AZUL/1112,04/04,155,24/06
2084-NLJ,HONDA/CG 125 FAN KS,PRETA/2484,09/09,155,23/12
2142-OGJ,HONDA/CG 125 FAN,PRETA/7061,11/12,155,27/05
2163-NWI,HONDA/CB 300R,VERM/8419,11/11,155,14/08
2192-LPJ,VW/ FOX 1.0,PRETA/7235,09/09,155,19/05
2193-JTN,GM/ VECTRA GLS,PRATA/6616,95/96,155,28/04
2216-OGW,HONDA/CG 125 FAN KS,PRETA/7486,11/12,155,10/06
2237-JFA,FORD/F 1000,BEGE/2016,85/86,157,15/10
2240-JJG,FIAT SIENA FIRE FLEX,CINZA/3235,11/12,155,17/11
2244-NLL,HONDA/CG 125 TITAN ES,PRETA/0547,44083,155,19/11
2281-NKE,JTA/SUZUKI EN YES 125,PRETA/6509,44019,155,22/06
2285-NVR,HONDA/CG 125 FAN KS,AZUL/0073,20/20,155,16/06
2308-KEX,HONDA/C100 BIZ,VERM/7496,02/02,155,21/06
2310-JUI,VW/8.140,BRANCA/2694,96/96,155,30/09
2311-OMZ,HONDA/BIZ 125 EX,BRANCA/8530,13/13,155,02/06
2347-NWI,YAMAHA/T115 CRYPTON ED,VERM/6831,43780,155,11/12
2370-PWL (GOIANAPOLIS),HYUNDAI/HB20S 1.6,AZUL/4407,15/15,155,22/07
2376-NKN,GM PRISMA MAXX,PRETA/2268,09/10,157,22/04
2389-NKM,HONDA / CIVIC LXS,PRETA/2578,09/10,157,18/02
2399-OMP,L200 TRITON HPE D,BRANCA/7470,14/14,155,08/06
2418-NKL (PIRENOPOLIS),VW/GOL 1.0,VERM/6663,10/10,157,17/08
2418-PRX,CARRETINHA R/TX ABERTA,PRETA,19/19,155,04/07
2444-KEH,YAMAHA/YBR 125 E,VERDE/9681,01/01,155,23/02
2449-JHS,TOYOTA/COROLLA XEI 18 FLEX,PRETA/3424,08/09,157,09/03
2485-NGR,R/FEDERAL CA,VERM/6709,06/06,155,18/1
2489-OGI,GM/S10 LTZ FD2,PRETA/3518,12/13,155,10/03
2518-KEZ,IVECO FIAT DAILY351C.C1,BRANC/8250,02/02,155,19/03
2518-OTE,YAMAHA/YBR125 FACTOR ED,PRETA/2168,13/14,155,13/05
2523-KDN,HONDA/ CG 125 TITAN,AZUL/2955,97/98,155,30/10
2540-NEO,VW/GOLF GL,VERM/1627,95/95,155,02/01
2591-JIP (DF),HONDA/CG 125 FAN KS,PRETA/6349,16/16,155,16/06
2601-NGL,SR/FACCHINI SRF CF,PRATA,07/07,157,09/01
2617-KDF,VW/PARATI,VERDE/2087,85/85,155,25/08
2650-NLT,FORD/F350,PRATA/5898,08/09,155,31/08
2657-EKB,HONDA/ CG 125 FAN ES,PRET/5654,11/11,155,14/11
2668-NFV,YAMAHA/YBR 125E,VERM/4470,92/92,155,01/06
2683-NFO,HONDA / BIZ C100,AZUL/9579,05/05,155,29/12
2715-JJE,HONDA/CBX 250 TWISTER,VERM/9028,07/07,155,22/09
2777-PRN,HONDA/CG160 TITAN 25A,PRATA/7543,19/19,155,27/08
2781-MOW,FORD/RANGER XL,PRATA/2280,11/12,155,27/10
2791-NFN,HONDA/C 100 BIZ MAIS,PRATA/7867,05/05,155,20/06
2806-KBY,GM/CHEVROLET C14,VERM/2975,72/72,155,04/06
2812-NFY,YAMAHA/ YBR 125 ED,PRETA/7193,43956,155,09/09
2816-KED,HONDA/ CG 125 KS,VERM/8662,00/01,155,26/09
2838-NWB,HONDA/ CG 150 FAN ESI,VERM/2960,11/11,155,02/10
2880-MWF,YAMAHA/CY JOG 50CC,PRETA/7491,96/97,155,21/09
