placa,descricao
4508-PRS,HONDA / CG160 FAN 19 VERMELHA SENDO UTILIZADA PARA A PRATICA DE FURTO DE MOTOS
4620-NGF,STRADA TOMADA DE 157 POREM SEM REGISTRO
4715-KEI,HONDA/CG 125 TITAN VERM. 01/01 - VEICULO UTILIZADO PARA PRATICA DE 157 NA CIDADE
4736-NWO,HONDA/BIZ 125 ES COR PRETA 11/11 MOTONETA ULTILIZADA PARA A PRATICA DE 157
4757-NVW,YAMAHA/FACTOR YBR 125 PRETA ANO 10/10 VEICULO CLONADO RODANDO EM ANAPOLIS
4797-NKU,FIAT/PALIO FIRE BRANCA 09/10 INDIVIDUO PORTANDO ARMA DE FOGO PRATICOU 157 ALDEIA DOS SONHOS
4899-ONE,HONDA CIVIC LXR 2014 COR BRANCA - POSSIVEL CLONE (POSSUI ENGATE)
4I89-PQW,GM/S 10 CINZA ANO 16/17 POSSIVELMENTE DOBRA RODANDO EM ANAPOLIS
5B70-NKC,HYUNDAI AZERA V6 PRETA - INDIVIDUO PORTANDO ARMA DE FOGO
5271-OVB,TITAN VERMELHA 14/14 - 2 individuos praticaram 157 portando arma de fogo no bairro Maracana
5416-IXC (DF),HONDA/HR-V LX CVT ANO 16/16 BRANCA PROVAVEL CLONE RODANDO EM ANAPOLIS
5423-NVO,HONDA/CG 150 TITAN MIX VERM 2010 PRATICOU 157 E TOMOU SENTIDO RECANTO DO SOL
5608-KEG,CG 125 TITAN KS 00/01 VERMELHA UTILIZADA PRATICA 157
5750-NGR,FIAT UNO 05/06 COR BRANCA TEVE SUA PLACA FURTADA
5857-CAI,FIAT/ UNO ELECTRONIC VERDE/1416 95/95 PRODUTO DE 168
5D18-RBZ,VW AMAROK COR PRETA 21/21 PROPRIETARIO DESAPARECIDO - VEICULO TRANSITANDO PELA REGIAO SUL DA CIDADE
5D66-NWO,FIAT/PALIO FIRE ECONOMY PRETO ANO 2012 COM O PROVAVEL AUTOR DE 121 NO RESID FLAMBOYANT
6004-NGG,CORSA CLASSIC LIFE AZUL UTILIZADO EM 155 EM RESIDENCIA
6041-PBM (DF),HYUNDAI/HB20 PRATA 18/19 POSSIVEL CLONE RODANDO EM ANAPOLIS
6369-JGD,CORSA HATCH BRANCO C/ADESIVO NO VIDRO TRAZEIRO PRAT.157
6442-NLH (GOIANIA),GM/ CAPTIVA PRETA 08/09 chassi 4952/ PRATICOU 155 EM RESIDENCIA NO BAIRRO VERONA
6513-JIH (DF),COROLLA GLI 1.8FLEX - CINZA/8228 ANO 10/11 - PRODUTO DE 171 NA OLX - RODANDO EM ANAPOLIS
6544-JGP,FIAT/PALIO FIRE 05/05 CINZA PRATICANDO 155 EM RESIDENCIAS
6659-EPG,VW / GOL 1.0 10/10 PRETA CHASSI: 7551 PLACA: DF ROUBO EM GYN LADRAO DE ANAPOLIS
6682-NGO,HONDA BIZ 125 KS - POSSIVEL APROPRIACAO INDEBITA
6709-OGV,FIAT / SIENA ATTRACTIV 1.4 12/13 CINZA POSSIVEL CLONE RODANDO EM ANAPOLIS
6713-OGX,GM/CLASSIC LS PRATA 12/12 PRATICOU 155 NA VILA SAO JOSE - ABORDADO NO DIA 04/09
6907-NGL,PLACA FURTADA DE TITAN150 CINZA 08 DE MINACOU
6990-OMQ,VOYAGE 12/13 PRATA DE INHUMAS - POSSIVEL VEICULO UTILIZADO EM LATROCINIO
6B03-JQH,FORD FOCUS PRETA 04/05 AUTOR DO HOMICIDIO NA JK
6D87-RFH,FIAT UNO ATTRACTIV PRATA 2020/2021 FEZ FURTO EM OUTRO VEICULO NO ANASHOPPING
6E46-OYC,TOYOTA COROLLA GLI BRANCA 15/16 INDIVIDUO VISTO ARMADO NA AV. TIRADENTES
7240-BDJ,JEEP/ COMPASS LIMITED PRETO 19/20 - POSSIVEL CLONE
7277-JDV,GM/CORSA WIND 96/96 PRATA - INDIVIDUO ARMADO
7348-HKQ,COBALT 12/13 PRETO UTILIZADO 155 DE PNEUS E 157 EM ABADIANIA
7454-JKA (DF),HONDA/FIT BRANCA EX FLEX- 2011/2011 MILHAR 5752 COMETENDO FURTOS NA AREA DO 4° BPM
7495-JJN (DF),HONDA/CG 125 TODAY 94/94 COR PRETA SENDO UTILIZADA PARA PRATICA DE VARIOS 157 (ALEXANDRINA)
7525-NKI (DF),FORD FUSION 08/08 PRATA/6005 - PROVAVEL CLONE RODANDO EM ANAPOLIS
7769-KBS (URUAÇU-GO),FIAT UNO ELETRONIC VERM 94/94 - POSSIVEL CARATER (AVERIGUAR)
